,full_title,title_shown,book_url,rating,price,availability
0,It's Only the Himalayas,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two,£45.17,In stock
1,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Full Moon over Noahâs ...,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Four,£49.43,In stock
2,See America: A Celebration of Our National Parks & Treasured Sites,See America: A Celebration ...,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Three,£48.87,In stock
3,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Vagabonding: An Uncommon Guide ...,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Two,£36.94,In stock
4,Under the Tuscan Sun,Under the Tuscan Sun,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Three,£37.33,In stock
5,A Summer In Europe,A Summer In Europe,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Two,£44.34,In stock
6,The Great Railway Bazaar,The Great Railway Bazaar,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,One,£30.54,In stock
7,A Year in Provence (Provence #1),A Year in Provence ...,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Four,£56.88,In stock
8,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),The Road to Little ...,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,One,£23.21,In stock
9,Neither Here nor There: Travels in Europe,Neither Here nor There: ...,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Three,£38.95,In stock
10,"1,000 Places to See Before You Die","1,000 Places to See ...",https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Five,£26.08,In stock
11,Sharp Objects,Sharp Objects,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,Four,£47.82,In stock
12,"In a Dark, Dark Wood","In a Dark, Dark ...",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,One,£19.63,In stock
13,The Past Never Ends,The Past Never Ends,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,Four,£56.50,In stock
14,A Murder in Time,A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,One,£16.64,In stock
15,The Murder of Roger Ackroyd (Hercule Poirot #4),The Murder of Roger ...,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Four,£44.10,In stock
16,The Last Mile (Amos Decker #2),The Last Mile (Amos ...,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Two,£54.21,In stock
17,That Darkness (Gardiner and Renner #1),That Darkness (Gardiner and ...,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,One,£13.92,In stock
18,Tastes Like Fear (DI Marnie Rome #3),Tastes Like Fear (DI ...,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,One,£10.69,In stock
19,A Time of Torment (Charlie Parker #14),A Time of Torment ...,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Five,£48.35,In stock
20,A Study in Scarlet (Sherlock Holmes #1),A Study in Scarlet ...,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Two,£16.73,In stock
21,Poisonous (Max Revere Novels #3),Poisonous (Max Revere Novels ...,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Three,£26.80,In stock
22,Murder at the 42nd Street Library (Raymond Ambler #1),Murder at the 42nd ...,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Four,£54.36,In stock
23,Most Wanted,Most Wanted,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Three,£35.28,In stock
24,Hide Away (Eve Duncan #20),Hide Away (Eve Duncan ...,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,One,£11.84,In stock
25,Boar Island (Anna Pigeon #19),Boar Island (Anna Pigeon ...,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Three,£59.48,In stock
26,The Widow,The Widow,https://books.toscrape.com/catalogue/the-widow_609/index.html,Two,£27.26,In stock
27,Playing with Fire,Playing with Fire,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Three,£13.71,In stock
28,What Happened on Beale Street (Secrets of the South Mysteries #2),What Happened on Beale ...,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Five,£25.37,In stock
29,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),The Bachelor Girl's Guide ...,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Five,£52.30,In stock
30,Delivering the Truth (Quaker Midwife Mystery #1),Delivering the Truth (Quaker ...,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Four,£20.89,In stock
