,full_title,title_shown,book_url,rating,price,availability
0,It's Only the Himalayas,It's Only the Himalayas,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,Two,£45.17,In stock
1,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Full Moon over Noahâs ...,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,Four,£49.43,In stock
2,See America: A Celebration of Our National Parks & Treasured Sites,See America: A Celebration ...,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,Three,£48.87,In stock
3,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Vagabonding: An Uncommon Guide ...,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,Two,£36.94,In stock
4,Under the Tuscan Sun,Under the Tuscan Sun,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,Three,£37.33,In stock
5,A Summer In Europe,A Summer In Europe,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,Two,£44.34,In stock
6,The Great Railway Bazaar,The Great Railway Bazaar,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,One,£30.54,In stock
7,A Year in Provence (Provence #1),A Year in Provence ...,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,Four,£56.88,In stock
8,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),The Road to Little ...,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,One,£23.21,In stock
9,Neither Here nor There: Travels in Europe,Neither Here nor There: ...,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,Three,£38.95,In stock
10,"1,000 Places to See Before You Die","1,000 Places to See ...",https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,Five,£26.08,In stock
